City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
471,wajir,1.7471,40.0573,74.98,62,46,16.69,KE,1719529060
472,robore,-18.3333,-59.75,77.09,69,11,0.0,BO,1719529060
473,camana,-16.6228,-72.7111,62.78,83,35,5.08,PE,1719529060
474,qiryat shemona,33.2073,35.5721,77.68,71,1,5.95,IL,1719529060
475,magadan,59.5667,150.8,48.27,93,100,5.93,RU,1719529060
476,aripuana,-9.1667,-60.6333,79.27,43,7,0.89,BR,1719529060
477,valdosta,30.8327,-83.2785,84.11,83,20,5.75,US,1719529061
478,pangody,65.85,74.4859,53.85,75,88,10.25,RU,1719529061
479,castillos,-34.1667,-53.8333,51.96,81,11,12.46,UY,1719529061
480,beacon square,28.2086,-82.7554,89.22,76,98,8.01,US,1719529061
481,akureyri,65.6835,-18.0878,46.33,81,75,16.11,IS,1719528808
482,sirte,31.2089,16.5887,76.77,72,0,4.65,LY,1719529061
483,hotan,37.0997,79.9269,83.35,18,52,7.72,CN,1719529061
484,rodolfo sanchez taboada,31.7167,-116.5667,73.09,65,19,5.01,MX,1719529062
485,fabens,31.5023,-106.1586,97.92,27,100,4.88,US,1719529062
486,kiama,-34.6833,150.8667,57.58,69,7,3.0,AU,1719529062
487,belo horizonte,-19.9208,-43.9378,74.75,44,12,1.97,BR,1719528885
488,malpils,57.0111,24.9631,65.89,92,0,5.39,LV,1719529062
489,timbuktu,16.7735,-3.0074,95.38,27,98,7.96,ML,1719529062
490,rodez,44.5,2.5833,71.28,83,0,2.3,FR,1719529062
491,osakarovka,50.565,72.5692,70.72,58,99,14.97,KZ,1719529062
492,ribas do rio pardo,-20.4431,-53.7592,71.4,42,6,4.18,BR,1719529062
493,i-n-salah,27.1935,2.4607,100.18,9,18,3.13,DZ,1719529062
494,codrington,-38.2667,141.9667,51.04,65,100,17.49,AU,1719528810
495,ore,6.7457,4.8775,73.92,95,34,1.7,NG,1719529063
496,villaquilambre,42.6469,-5.5584,68.29,68,0,6.91,ES,1719529063
497,susanville,40.4163,-120.653,78.8,13,62,15.3,US,1719529063
498,argo,37.6333,22.7333,74.79,56,0,3.6,GR,1719529063
499,bodaybo,57.8506,114.1933,64.8,61,98,2.17,RU,1719529063
500,kerikeri,-35.2268,173.9474,57.9,82,6,1.99,NZ,1719529063
501,aldona,15.5833,73.8667,82.18,87,99,14.79,IN,1719529063
502,zhanaozen,43.3,52.8,66.07,62,42,11.88,KZ,1719529063
503,belel,7.05,14.4333,61.14,96,100,2.46,CM,1719529063
504,dakhla,23.6848,-15.958,66.31,85,0,23.09,EH,1719529064
505,kaele,10.1092,14.4508,77.76,79,100,16.13,CM,1719529064
506,trincomalee,8.5711,81.2335,81.07,79,100,20.6,LK,1719529064
507,taber,49.8167,-112.1518,67.84,59,98,17.27,CA,1719529064
508,duragan,41.4158,35.0544,59.22,65,0,2.39,TR,1719529064
509,tagta,41.6504,59.9164,66.15,77,0,9.22,TM,1719529064
510,guarapari,-20.6667,-40.4975,71.98,94,83,4.5,BR,1719529064
511,paita,-5.0892,-81.1144,66.2,85,66,15.1,PE,1719529064
512,aldinga beach,-35.2793,138.4604,58.66,60,68,20.45,AU,1719529064
513,anastacio,-20.4836,-55.8069,72.77,50,23,3.94,BR,1719529064
514,trondheim,63.4305,10.3951,75.25,52,42,4.0,NO,1719529065
515,stornoway,58.2093,-6.3865,53.56,95,100,1.14,GB,1719529065
516,el bauga,18.262,33.9081,91.31,10,80,10.94,SD,1719529065
517,drayton valley,53.2168,-114.9854,51.73,99,100,14.7,CA,1719529065
518,richmond,37.5538,-77.4603,88.21,48,20,6.91,US,1719528841
519,strathmore,51.0501,-113.3852,58.19,82,100,9.22,CA,1719529065
520,zag,46.9441,99.165,54.5,67,45,3.53,MN,1719529065
521,pujili,-0.95,-78.6833,57.49,67,40,14.97,EC,1719529065
522,barcelos,41.5388,-8.6151,64.69,95,30,4.23,PT,1719529021
523,candelaria,13.9311,121.4233,79.92,86,86,3.38,PH,1719529066
524,muroto-misakicho,33.2833,134.15,76.32,92,100,23.13,JP,1719529066
525,fortuna,40.5982,-124.1573,66.92,69,100,16.11,US,1719529066
526,launceston,-41.45,147.1667,47.16,93,100,10.36,AU,1719529066
527,feuchtwangen,49.1667,10.3333,69.87,95,16,5.64,DE,1719529066
528,pacific grove,36.6177,-121.9166,75.54,71,0,10.36,US,1719529066
529,vilyuysk,63.7553,121.6247,56.53,48,2,7.02,RU,1719529066
530,tsiombe,-25.3,45.4833,64.33,66,0,11.05,MG,1719528803
531,lampasas,31.2168,-98.2336,99.28,48,43,10.22,US,1719529066
532,freetown,8.484,-13.2299,78.1,88,100,5.82,SL,1719529066
533,itacare,-14.2775,-38.9967,73.38,85,27,5.55,BR,1719529066
534,el granada,37.5027,-122.4694,78.91,58,20,20.71,US,1719528954
535,formosa do rio preto,-11.0483,-45.1931,73.08,45,15,1.5,BR,1719529067
536,mahdia,35.5047,11.0622,76.95,72,4,7.14,TN,1719529067
537,sabang,5.8933,95.3214,84.02,71,98,2.35,ID,1719529067
538,sechura,-5.5569,-80.8222,71.24,68,67,16.04,PE,1719529067
539,bastogne,50.0035,5.7184,65.12,74,91,7.96,BE,1719529067
540,bakanas,44.8081,76.2772,83.77,22,17,10.42,KZ,1719529067
541,emerald,-23.5333,148.1667,62.35,100,100,5.23,AU,1719529067
542,grand falls-windsor,48.9332,-55.6649,69.51,84,100,8.01,CA,1719529067
543,claveria,18.6074,121.0832,84.18,75,100,2.98,PH,1719529067
544,sokoni,-6.4333,39.55,78.58,75,31,18.77,TZ,1719529068
545,selebi-phikwe,-21.979,27.8498,55.6,73,73,8.37,BW,1719529068
546,gasa,31.5,34.4667,77.81,87,0,4.54,PS,1719529068
547,dawei,14.0833,98.2,76.51,91,96,2.71,MM,1719529068
548,pavlovka,52.6897,47.1405,51.94,93,83,8.81,RU,1719529068
549,camacupa,-12.0167,17.4833,53.06,47,0,2.73,AO,1719529068
550,timimoun,29.2639,0.231,102.58,9,0,3.44,DZ,1719529068
551,filingue,14.3521,3.3168,92.68,40,82,17.94,NE,1719529068
552,jinchang,38.4953,102.1739,72.48,43,100,5.12,CN,1719529068
553,praia,14.9215,-23.5087,75.74,69,40,12.66,CV,1719529069
